"Database Name","file_id","name","physical_name","type_desc","state_desc","is_percent_growth","growth","Growth in MB","Total Size in MB","max_size"
"AccessConfig","1","AccessConfig","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\AccessConfig.mdf","ROWS","ONLINE","False","128","1","6","-1"
"AccessConfig","2","AccessConfig_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\AccessConfig_log.ldf","LOG","ONLINE","True","10","0","6","268435456"
"KHTT_ST","1","KHTT_ST","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\KHTT_ST.mdf","ROWS","ONLINE","False","128","1","76411","-1"
"KHTT_ST","2","KHTT_ST_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\KHTT_ST_log.ldf","LOG","ONLINE","True","10","0","285","268435456"
"KHTT_ST_TEST","1","KHTT_ST","D:\ChiTuyen_TEST_250715\KHTT_ST24.mdf","ROWS","ONLINE","False","128","1","54699","-1"
"KHTT_ST_TEST","2","KHTT_ST_log","D:\ChiTuyen_TEST_250715\KHTT_ST24_log.ldf","LOG","ONLINE","True","10","0","2321","-1"
"KHTT_ST22","1","KHTT_ST","E:\DBCRM2017\KHTT_ST22.mdf","ROWS","ONLINE","False","128","1","33878","-1"
"KHTT_ST22","2","KHTT_ST_log","E:\DBCRM2017\KHTT_ST22.ldf","LOG","ONLINE","True","10","0","176","268435456"
"KHTT_ST23","1","KHTT_ST","E:\DBCRM2017\KHTT_ST23.mdf","ROWS","ONLINE","False","128","1","36660","-1"
"KHTT_ST23","2","KHTT_ST_log","E:\DBCRM2017\KHTT_ST23_log.ldf","LOG","ONLINE","True","10","0","1","268435456"
"KHTT_ST24","1","KHTT_ST","E:\DBCRM2017\KHTT_ST24.mdf","ROWS","ONLINE","False","128","1","55130","-1"
"KHTT_ST24","2","KHTT_ST_log","E:\DBCRM2017\KHTT_ST24_log.ldf","LOG","ONLINE","True","10","0","1","268435456"
"master","1","master","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\master.mdf","ROWS","ONLINE","True","10","0","4","-1"
"master","2","mastlog","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\mastlog.ldf","LOG","ONLINE","True","10","0","2","-1"
"model","1","modeldev","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\model.mdf","ROWS","ONLINE","False","128","1","3","-1"
"model","2","modellog","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\modellog.ldf","LOG","ONLINE","True","10","0","0","-1"
"msdb","1","MSDBData","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\MSDBData.mdf","ROWS","ONLINE","True","10","0","333","-1"
"msdb","2","MSDBLog","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\MSDBLog.ldf","LOG","ONLINE","True","10","0","90","268435456"
"ReportServer","1","ReportServer","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServer.mdf","ROWS","ONLINE","False","128","1","4","-1"
"ReportServer","2","ReportServer_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServer_log.LDF","LOG","ONLINE","True","10","0","6","268435456"
"ReportServerTempDB","1","ReportServerTempDB","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\ReportServerTempDB.mdf","ROWS","ONLINE","False","128","1","3","-1"
"ReportServerTempDB","2","ReportServerTempDB_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\ReportServerTempDB_log.LDF","LOG","ONLINE","True","10","0","3","268435456"
"SDI_CFNQ","1","SDI_CFNQ","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SDI_CFNQ.mdf","ROWS","ONLINE","False","128","1","184","-1"
"SDI_CFNQ","2","SDI_CFNQ_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SDI_CFNQ_log.ldf","LOG","ONLINE","True","10","0","1","268435456"
"SGCReport","1","SGCReport","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\SGCReport.mdf","ROWS","ONLINE","False","128","1","31529","-1"
"SGCReport","2","SGCReport_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\SGCReport_log.ldf","LOG","ONLINE","True","10","0","813","268435456"
"SGCReport_2016_2021","1","SGCReport_2016_2021","E:\DBCRM2017\SGCReport_2016_2021.mdf","ROWS","ONLINE","False","128","1","36502","-1"
"SGCReport_2016_2021","2","SGCReport_2016_2021_log","E:\DBCRM2017\SGCReport_2016_2021_log.ldf","LOG","ONLINE","True","10","0","1","268435456"
"Son_TEST_DCDR","1","Son_TEST_DCDR","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\Son_TEST_DCDR.mdf","ROWS","ONLINE","False","128","1","90","-1"
"Son_TEST_DCDR","2","Son_TEST_DCDR_log","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\Son_TEST_DCDR_log.ldf","LOG","ONLINE","True","10","0","1","268435456"
"tempdb","1","tempdev","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\tempdb.mdf","ROWS","ONLINE","True","10","0","18","-1"
"tempdb","2","templog","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\Log\templog.ldf","LOG","ONLINE","True","10","0","0","-1"
"tempdb","3","tempdev1","E:\Program Files\Microsoft SQL Server\MSSQL12.DBCF\MSSQL\DATA\tempdev1.ndf","ROWS","ONLINE","False","128","1","18","-1"
