"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"4080421.75","2025-12-11 15:16:15","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","","","22","150382","27.23","99.65"
"556557.77","2025-12-11 15:16:14","[KHTT_ST].[dbo].[CTPhatSinh]","8","1","","[NgayNhap]","[MaThe13], [MaHD], [SoHD], [MaST], [NgayHD], [MaQuay]","180","9390","60.60","97.81"
"414395.12","2025-12-11 15:16:14","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[SoHD], [MaST], [MaQuay]","[NgayHD], [NgayNhap]","[MaThe13], [MaHD]","132","6886","60.22","99.93"
"15456.70","2025-12-11 15:07:28","[KHTT_ST].[dbo].[CTNhanThuong]","3","1","[MaThe13], [MaHH]","[NgayNhan]","[SoDiemTru]","382","565","27.38","99.91"
"15433.50","2025-12-11 15:07:28","[KHTT_ST].[dbo].[CTNhanThuong]","3","2","[MaThe13]","[NgayNhan]","","382","565","27.38","99.76"
"10551.76","2025-10-29 11:11:14","[KHTT_ST].[dbo].[CTPhatSinh07]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","198","434","52.95","45.92"
"9453.60","2025-10-29 11:03:01","[KHTT_ST].[dbo].[CTPhatSinh08]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","209","382","53.53","46.23"
"9310.26","2025-12-05 14:10:11","[KHTT_ST].[dbo].[CTPhatSinh09]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","189","388","58.61","40.94"
"8871.10","2025-07-25 13:54:51","[KHTT_ST].[dbo].[CTPhatSinh05]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","201","386","47.53","48.35"
"8782.00","2025-12-11 15:15:56","[msdb].[dbo].[sysjobhistory]","2","1","[step_id], [run_status]","","[instance_id], [run_date], [run_time]","8731","112834","0.08","95.26"
"8608.93","2025-12-05 16:30:34","[KHTT_ST].[dbo].[CTPhatSinh10]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","141","350","53.40","46.06"
"7423.22","2025-07-08 16:16:57","[KHTT_ST].[dbo].[CTPhatSinh04]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","157","337","44.32","49.7"
"7347.01","2025-05-08 16:27:07","[KHTT_ST].[dbo].[CTPhatSinh03]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","152","323","49.61","45.85"
"7206.97","2025-12-09 11:19:42","[KHTT_ST24].[dbo].[CTNhanThuong]","1","1","[MaThe13]","","","71","133","54.27","99.84"
"6931.56","2025-09-11 15:40:56","[KHTT_ST].[dbo].[CTPhatSinh06]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","130","305","50.55","44.96"
"5773.30","2025-04-21 16:06:55","[KHTT_ST].[dbo].[CTPhatSinh02]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","181","322","35.98","49.83"
"5139.29","2025-06-24 16:34:55","[KHTT_ST].[dbo].[History_INVTSERV05]","1","1","[TX_NO], [DATE]","","[TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [STORE], [TXDATE]","21","22","234.24","99.73"
"3518.50","2025-11-10 15:02:11","[KHTT_ST_TEST].[dbo].[CTPhatSinh]","4","1","[MaThe13], [SoHD]","","[ID], [MaHD], [MaDotKhuyenMai], [MaST], [NgayHD], [MaQuay], [TongTienHD], [DiemTichLuy], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [DoiCapDo], [DichVu], [LyDo], [MaLyDo], [MaNVNhap], [NgayNhap], [DaVanChuyen], [NVCash], [IDBiButToan], [NgayVanChuyen]","8","16","219.95","99.98"
"2719.92","2025-11-18 09:17:03","[KHTT_ST].[dbo].[History_INVTSERV11]","1","1","[TX_NO], [DATE]","","[TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [STORE], [TXDATE]","10","10","272.73","99.73"
"2345.12","2025-07-24 15:01:36","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","2","[TYPE], [TENDER_CODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","5","9","504.30","51.67"
"2054.53","2025-11-22 08:14:20","[SGCReport].[dbo].[LichSuCapTheTT]","3","1","[MaThe13], [MaCapDo]","[Loai]","","49","57","36.05","99.98"
"2052.89","2025-11-22 08:14:20","[SGCReport].[dbo].[LichSuCapTheTT]","3","2","[MaThe13]","[Loai]","","49","57","36.05","99.9"
"1966.95","2025-11-10 14:07:14","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","11","12","214.32","76.48"
"1815.12","2025-11-05 09:11:40","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","2","[TYPE], [TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","6","7","605.42","42.83"
"1606.02","2025-11-22 08:14:42","[SGCReport].[dbo].[LichSuCapTheTT]","3","2","[MaThe13]","","","35","44","36.75","99.31"
"1468.78","2025-11-10 15:01:29","[KHTT_ST_TEST].[dbo].[CTPhatSinh]","4","1","","[NgayNhap]","[MaThe13], [MaHD], [SoHD], [MaST], [NgayHD], [MaQuay]","2","7","384.51","54.57"
"1432.53","2025-07-24 14:08:20","[KHTT_ST_TEST].[dbo].[TNDSERV10]","5","2","[TYPE], [TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","6","6","684.11","34.9"
"1371.78","2025-07-24 14:47:31","[KHTT_ST_TEST].[dbo].[History_INVTSERV06]","4","2","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID]","","[TIME], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE], [NGAYLAY]","4","6","228.68","99.98"
"1318.46","2025-11-10 14:45:21","[KHTT_ST_TEST].[dbo].[CTPhatSinh]","4","2","[MaThe13]","","[ID]","4","6","219.81","99.97"
"1315.44","2025-04-18 08:36:44","[KHTT_ST].[dbo].[CTPhatSinh01]","1","1","[SoHD], [MaST], [MaQuay]","[NgayHD], [TongTienHD]","[ID], [IDBiButToan]","46","64","37.90","54.23"
"1098.68","2025-11-10 14:47:12","[KHTT_ST_TEST].[dbo].[CTPhatSinh]","4","2","[MaThe13]","","[ID], [MaHD], [SoHD], [MaDotKhuyenMai], [MaST], [NgayHD], [MaQuay], [TongTienHD], [DiemTichLuy], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [DoiCapDo], [DichVu], [LyDo], [MaLyDo], [MaNVNhap], [NgayNhap], [DaVanChuyen], [NVCash], [IDBiButToan], [NgayVanChuyen]","2","5","219.78","99.98"
"1057.24","2025-11-10 15:01:29","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","1","[DATE], [REGISTER], [STORE]","[DALAY_DT]","[TX_NO], [TIME], [CUSTNUM], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [NGAYLAY], [TXDATE]","2","7","384.51","39.28"
"1016.90","2025-07-24 14:21:48","[KHTT_ST_TEST].[dbo].[TNDSERV10]","5","2","[TYPE], [TENDER_CODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","4","5","791.36","25.7"
"1011.65","2025-11-10 14:35:59","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","","[DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [STORE]","5","7","172.75","83.66"
"892.80","2025-12-11 15:07:42","[KHTT_ST].[dbo].[CTPhatSinh]","8","1","[MaThe13]","","","27","30","29.81","99.83"
"861.82","2025-07-25 09:45:07","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","4","7","147.32","83.57"
"790.64","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV10]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","312","4.75","53.37"
"786.91","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV10]","3","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","14","313","3.95","63.67"
"753.56","2025-12-11 15:16:10","[msdb].[dbo].[backupset]","6","2","","[type]","[backup_finish_date], [database_name]","53","100","7.85","95.96"
"686.55","2025-07-24 14:51:34","[KHTT_ST_TEST].[dbo].[History_INVTSERV06]","4","1","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID], [NGAYLAY]","","[TIME], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [SEQNUM], [DALAY_DMH], [DALAY_DT], [STORE]","3","3","228.90","99.98"
"578.15","2025-11-10 15:01:29","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","1","","[DALAY_DT]","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [NGAYLAY], [TXDATE]","2","7","384.51","21.48"
"573.05","2025-12-11 15:15:57","[KHTT_ST].[dbo].[INVTSERV12]","3","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","15","313","2.99","61.27"
"570.46","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV12]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","312","3.66","49.89"
"563.59","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV14]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","5","312","3.74","48.27"
"561.38","2025-12-11 15:16:01","[KHTT_ST].[dbo].[INVTSERV14]","3","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","13","313","2.80","64.07"
"555.20","2025-11-05 09:21:08","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","9","[TENDER_CODE]","","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID]","4","4","147.39","94.17"
"520.48","2025-07-24 14:21:48","[KHTT_ST_TEST].[dbo].[TNDSERV15]","5","2","[TYPE], [TENDER_CODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","3","4","950.47","13.69"
"519.04","2025-07-25 09:29:26","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","2","[BANKCODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","2","2","546.02","47.53"
"518.90","2025-07-24 13:41:22","[KHTT_ST_TEST].[dbo].[TNDSERV15]","5","2","[TYPE], [TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","4","4","948.98","13.67"
"507.52","2025-07-24 14:07:34","[KHTT_ST_TEST].[dbo].[TNDSERV10]","5","2","[TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [TYPE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","2","2","549.74","46.16"
"488.25","2025-07-25 09:28:53","[KHTT_ST_TEST].[dbo].[TNDSERV16]","22","2","[BANKCODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [TYPE], [TENDER_CODE], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","2","4","146.96","83.06"
"444.22","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV15]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","7","313","2.42","58.59"
"437.61","2025-12-11 15:16:03","[KHTT_ST].[dbo].[INVTSERV15]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","12","313","2.52","55.58"
"425.81","2025-07-24 14:21:48","[KHTT_ST_TEST].[dbo].[TNDSERV12]","5","2","[TYPE], [TENDER_CODE]","[CUSTNUM]","[TX_NO], [DATE], [TIME], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","3","4","950.47","11.2"
"424.38","2025-07-24 13:41:22","[KHTT_ST_TEST].[dbo].[TNDSERV12]","5","2","[TYPE], [TENDER_CODE]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TILLID], [AMOUNT], [SEQNUM], [CHANGEFLAG], [TRAN_REF], [BANKCODE], [STORE], [DALAY_DT], [NGAYLAY], [TXDATE]","4","4","948.98","11.18"
"420.88","2025-12-11 15:00:00","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen], [NgayVanChuyen]","","[ID]","4","7","60.52","99.35"
"419.26","2025-12-11 15:00:01","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen], [NgayVanChuyen]","","[ID], [MaThe13], [MaHD], [SoHD], [MaDotKhuyenMai], [MaST], [NgayHD], [MaQuay], [TongTienHD], [DiemTichLuy], [DiemMuaHang], [DiemThuongTheoHD], [DiemThuongKhongTheoHD], [DoiCapDo], [DichVu], [LyDo], [MaLyDo], [MaNVNhap], [NgayNhap], [NVCash], [IDBiButToan]","4","7","60.18","99.53"
"412.01","2025-12-11 15:15:52","[KHTT_ST].[dbo].[INVTSERV16]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE]","6","313","2.13","61.77"
"406.09","2025-12-11 15:16:06","[KHTT_ST].[dbo].[INVTSERV16]","4","1","[DALAY_DT]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DMH], [STORE], [TXDATE]","13","313","2.45","52.89"
"403.22","2025-12-11 14:49:29","[KHTT_ST].[dbo].[KhachHang]","3","1","[Passport]","[MaThe13]","[MaThe7], [MaNVCap], [MaNVCapNhat], [NgayCapNhat], [HoLot], [Ten], [NgaySinh], [GioiTinh], [CMND], [MaSoThue], [MaQuocGia], [SoNha], [TenDuong], [MaPhuongXa], [MaQuanHuyen], [MaTinhTP], [DTDD], [DTBan], [Email], [LaDoanhNghiep], [MaNgheNghiep], [CoNhanChuyenKhoan], [SoTaiKhoan], [NganHang], [DVThuHuong], [NhanQCQuaEmail], [NhanQCQuaSMS], [NhanToRoiQCQuaDiaChi], [GhiChu], [MaST], [DacCach], [MaLyDoDacCach], [LyDoDacCach], [F1], [F2], [F3], [F4], [F5], [MaThuNhap], [MaLoaiKH], [MaNguonDKyKH], [TTHonNhan], [SoCon], [LaTVHTX], [NgayDangKyThamGiaHTX], [MaHTX], [SoVonGopBanDau]","3","4","105.33","95.7"
