"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"(@p__linq__0 varchar(8000))SELECT TOP (1) 
    [E","34506","138024","4","1879840","54","1885428","54","0","12/11/2025 1:57:03 PM"
"(@0 varchar(20),@1 datetime,@2 decimal(19,2),@3 de","21957","67592","3","1603104","73","1607054","73","0","12/11/2025 2:37:41 PM"
"(@p__linq__0 varchar(8000))SELECT TOP (1) 
    [E","21950","65850","3","1256248","57","1259476","57","0","12/11/2025 2:37:41 PM"
"(@0 decimal(19,2),@1 decimal(19,2),@2 decimal(19,2","21950","87800","4","1475304","67","1479174","67","0","12/11/2025 2:37:41 PM"
"

CREATE PROC [dbo].[sp_INVTSERV] 
		@tble varc","20160","80640","4","1132747","56","1136244","56","0","12/11/2025 7:07:01 AM"
"SELECT 
    [Extent1].[MaLoai] AS [MaLoai], 
   ","16027","32054","2","775187","48","777612","48","0","12/11/2025 2:54:32 PM"
"
Create PROC [dbo].[sp_GET_CUSTOMER_ACCUMULATION_","15248","704414096","46197","9763399190","640306","578317638","37927","1","12/11/2025 7:00:01 AM"
"
Create PROC [dbo].[sp_GET_CUSTOMER_ACCUMULATION_","15248","704414097","46197","9509067934","623627","553048547","36270","1","12/11/2025 7:00:01 AM"
"
Create PROC [dbo].[sp_GET_CUSTOMER_ACCUMULATION_","15248","45744","3","811161","53","1141987","74","1","12/11/2025 7:00:01 AM"
"create procedure [sp_MSupd_dboKhachHang]     @c1 c","10812","57210","5","949389","87","983572","90","0","12/11/2025 7:09:39 AM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","3774","26418","7","323899","85","324459","85","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2627","18389","7","230340","87","230741","87","0","12/11/2025 2:59:08 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2109","14763","7","182946","86","183255","86","0","12/11/2025 2:29:26 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2109","14763","7","184986","87","185336","87","0","12/11/2025 2:29:26 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","177099","87","177391","87","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","181235","89","181574","89","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","178531","87","178828","87","0","12/11/2025 2:32:16 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","180093","88","180391","88","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","179596","88","179910","88","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","177818","87","178121","87","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","176712","86","177031","86","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","176970","86","177291","87","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","177424","87","177711","87","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","2035","14245","7","175809","86","176128","86","0","12/11/2025 2:32:15 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164318","87","164610","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","161765","85","162039","85","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","166431","88","166728","88","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164258","87","164549","87","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164595","87","164902","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164901","87","165186","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163236","86","163529","86","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","168525","89","168826","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","166441","88","166722","88","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","165613","87","165853","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","169329","89","169631","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164731","87","165038","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","162864","86","163177","86","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164624","87","164909","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","171021","90","171331","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163079","86","163366","86","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163543","86","163809","86","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164878","87","165165","87","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164329","87","164606","87","0","12/11/2025 2:37:51 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","168243","89","168517","89","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163685","86","163994","86","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","170071","90","170364","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","164459","87","164743","87","0","12/11/2025 2:37:53 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","169778","89","170069","90","0","12/11/2025 2:37:52 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","165605","87","165888","87","0","12/11/2025 2:37:50 PM"
"SET TRANSACTION ISOLATION LEVEL READ Uncommitted ","1887","13209","7","163060","86","163320","86","0","12/11/2025 2:37:51 PM"
