"session_id","Database Name","login_time","cpu_time","logical_reads","status","Input Buffer"
"51","KHTT_ST","12/11/2025 4:18:49 PM","0","0","sleeping",""
"54","KHTT_ST","12/11/2025 3:00:00 PM","0","0","sleeping",""
"56","KHTT_ST","12/11/2025 1:07:01 AM","0","0","sleeping",""
"57","KHTT_ST","12/11/2025 1:07:00 AM","0","32","sleeping","SELECT [Version] FROM UpdateList ul WHERE ul.AppType = '8'"
"58","KHTT_ST","12/8/2025 10:06:44 PM","25902","130412","sleeping","SELECT ISNULL(SUM(khqtcd.SoLuongToiDa * sodiem),0) AS TongDiem
                                        FROM   KhachHang_QuaTang_CapDo khqtcd
                                               INNER JOIN QuaTang qt
                                                    ON  qt.MaHH = khqtcd.MaHH
                                        WHERE  khqtcd.MaThe13 = '4365622634450' "
"60","KHTT_ST","12/11/2025 10:26:05 AM","0","120","sleeping","select DiemNamCu from ChiThuongCuoiNam where MaThe13 = '7076311923720'"
"62","KHTT_ST","12/11/2025 4:22:12 PM","0","0","sleeping",""
"63","KHTT_ST","12/11/2025 2:27:31 PM","15","75","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0937734704' OR kh.DTBan = '0937734704') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"66","KHTT_ST","12/11/2025 7:07:00 AM","16","1446","sleeping","select top 1 Ngay from TichLuyTrongNgay"
"67","KHTT_ST","12/11/2025 1:21:38 AM","0","0","sleeping",""
"68","KHTT_ST","12/11/2025 4:22:17 PM","0","41","sleeping","(@Date datetime)select sum(Amount) from TNDSERV17 
                                                        where CUSTNUM = '7632992377' 
                                                        and DATE = @Date
                                                        and left([TIME],5) = '16:14' 
                                                        and TX_NO = 191 
                                                        and REGISTER = '01' 
                                                        and TILLID = '38351' 
                                                        and STORE = '2195'
                                                        and TENDER_CODE = '' 
                                                        and BANKCODE = ''"
"69","KHTT_ST","12/11/2025 10:30:25 AM","297","83557","sleeping","SELECT TOP 10 *  FROM 
                                            ((SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh01 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh02 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh03 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh04 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh05 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh06 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh07 cs WHERE MaThe13 = '9364178635800')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh08 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh09 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh10 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh11 cs WHERE MaThe13 = '9364178635800')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13',
                                                    cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh cs WHERE MaThe13 = '9364178635800')) a
                                              order by a.NgayHD desc"
"70","KHTT_ST","12/11/2025 4:20:42 PM","0","0","sleeping",""
"71","KHTT_ST","12/11/2025 3:21:30 PM","16","62","sleeping","SELECT * FROM 
                                        (SELECT * FROM KhachHang kh
                                        WHERE kh.DTDD = '0963895171' OR kh.DTBan = '0963895171') kh
                                        LEFT JOIN QuanHuyen qh ON qh.MaQuanHuyen = kh.MaQuanHuyen
                                        LEFT JOIN TinhTP tt ON tt.MaTinhTP = kh.MaTinhTP
                                        LEFT JOIN QuocGia qg ON qg.MaQuocGia = kh.MaQuocGia"
"73","KHTT_ST","12/11/2025 3:00:00 PM","0","0","sleeping",""
"74","KHTT_ST","12/11/2025 3:19:33 PM","282","82732","sleeping","SELECT TOP 10 *  FROM 
                                            ((SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh01 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh02 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh03 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh04 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh05 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh06 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh07 cs WHERE MaThe13 = '4862000805131')
                                              UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh08 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh09 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh10 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
                                                       cs.TongTienHD as N'T?ng ti?n',
                                                       cs.DiemMuaHang as N'?i?m mua h?ng',
                                                       cs.DiemThuongTheoHD as N'?i?m th??ng',
                                                       cs.DaVanChuyen as N'?? t?nh ?i?m'
                                              FROM CTPhatSinh11 cs WHERE MaThe13 = '4862000805131')
                                                UNION ALL 
                                            (SELECT cs.MaThe13 as N'M? th? 13',
                                                    cs.NgayHD,
                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',
                                                       cs.SoHD as N'S? H?',
                                                       cs.MaST as N'M? ST',
                                                       cs.MaQuay as N'M? qu?y',
